date,original_tweet_text,tweet
Thu Feb 03 18:55:55 +0000 2022,"@fadlizon Masalahnya yang mengajukan PTM itu Anies B, sehingga harus dilawan.",masalahnya mengajukan ptm anies sehingga dilawan
Thu Feb 03 18:55:47 +0000 2022,"@SyaifulHooda Ijin kang, PTM dievaluasi iya, tapi kontek penanganan covid disekolah juga kalau bisa harus ada anggaran khusus dari pemerintah. Jangan sampai sekolah kecil khususnya malah disibukan untuk memenuhi sarana pencegahan covid, dan hal yang lain seperti atk, kuota terabaikan",ijin ptm dievaluasi iya kontek penanganan covid disekolah kalau ada anggaran khusus dari pemerintah jangan sampai sekolah kecil khususnya malah disibukan memenuhi sarana pencegahan covid lain seperti atk kuota terabaikan
Thu Feb 03 18:55:46 +0000 2022,@jejje113 klo SMA seruan ptm klo kuliah mendingan online sih soalnya aku blm pernah kuliah tatap muka🙃,kalau sma seruan ptm kalau kuliah mendingan online soalnya aku belum kuliah tatap muka
Thu Feb 03 18:51:27 +0000 2022,"RT @fadlizon: Ini aneh. Harusnya ketika Covid 19 sdg tinggi ya PTM dihentikan sementara. Kalau sdh landai, PTM bisa dilanjutkan. Siapa yg b…",aneh ketika covid sedang tinggi ptm dihentikan sementara kalau sudah landai ptm dilanjutkan
Thu Feb 03 18:45:26 +0000 2022,"ptm gini jd keliatan ansosnya, tp kalo sok friendly jd aneh. hdeh",ptm jadi keliatan anti sosial kalau sok friendly jadi aneh hadeh
Thu Feb 03 18:45:13 +0000 2022,"RT @_riverheaven: GUBERNUR MBALELO

Saat daerah lain menghentikan PTM, DKI maksa jalan terus. Gubernur ngeyel nanti tinggal lempar masalah…",riverheaven gubernur mbalelo daerah lain menghentikan ptm dki maksa jalan gubernur ngeyel nanti tinggal lempar masalah
Thu Feb 03 18:43:44 +0000 2022,"walaupun pjj ga efektif, gw masih takut buat ptm krn case covid lg naik🤧",walaupun pjj efektif gue takut buat ptm karena case covid lagi naik
Thu Feb 03 18:41:32 +0000 2022,"Kenapa siihhh😭😭😭
Asli dah seneng ptm cuy, kesian maba di kampusku udah pada ngekos eh gak jadi kan mana udh pada ngerantau😭😭 https://t.co/H8lUcUyMJs",asli dah seneng ptm cuy kesian mahasiswa kampusku sudah ngekos eh jadi sudah ngerantau
Thu Feb 03 18:37:24 +0000 2022,@satriohendri Mungkin saatnya para orangtua 100 persen mendukung menolak PTM di jkt....,mungkin saatnya para orangtua persen mendukung menolak ptm jkt
Thu Feb 03 18:36:03 +0000 2022,"@fadlizon Kritik yg membangun,  kata yg sealiran,  kritikmu membingungkan kata yg orang berfikir,  . Kritik mu tolol kata rakyat kayak saya,  karna menurut saya PTM di lanjutkan atau di hentikan,  kamu lebih tau..... Dn solosimu apa sebagai wakil rakyat.?????",kritik membangun kata sealiran kritikmu membingungkan kata berfikir kritik tolol kata rakyat kayak saya karena menurut saya ptm lanjutkan hentikan lebih tau solusi sebagai wakil rakyat
